"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 24 21:24:43 UTC 2023","Thu Aug 24 21:24:43 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_multiplication",""
"passed","Fri Sep 08 14:55:27 UTC 2023","Fri Sep 08 14:55:27 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_subtraction",""
"passed","Thu Aug 24 21:24:43 UTC 2023","Thu Aug 24 21:24:43 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_subtraction",""
"passed","Fri Sep 08 14:55:27 UTC 2023","Fri Sep 08 14:55:27 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_addition",""
"broken","Thu Aug 24 21:24:43 UTC 2023","Thu Aug 24 21:24:43 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_division",""
"failed","Fri Sep 08 14:55:27 UTC 2023","Fri Sep 08 14:55:27 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_failure",""
"passed","Thu Aug 24 21:24:43 UTC 2023","Thu Aug 24 21:24:43 UTC 2023","1","Parent Suite 1","SUITE_1","","","","test_addition",""
"failed","Thu Aug 24 21:24:43 UTC 2023","Thu Aug 24 21:24:43 UTC 2023","1","Parent Suite 1","SUITE_1","","","","test_failure",""
"passed","Fri Sep 08 14:55:27 UTC 2023","Fri Sep 08 14:55:27 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_multiplication",""
"broken","Fri Sep 08 14:55:27 UTC 2023","Fri Sep 08 14:55:27 UTC 2023","0","Parent Suite 1","SUITE_1","","","","test_division",""
